Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Date Time	Begin File	Avg Power Density (dB FS/Hz)	Energy (dB FS)	Max Entropy (bits)	Max Freq (Hz)	Peak Freq (Hz)	Peak Power Density (dB FS/Hz)	Center Time (s)	Truth (0 or 1)	Background (kHz)	Missed (in 10s frame)	Other Disturb. Type	Detector	Frame Duration	Occupancy	Reason
1	Spectrogram 1	1	16.938645833	16.949312500	200.000	2000.000	16.9386	CK6-1-10-2024_000H_GU-B1_16289_20240105_003602.flac	-44.86	-1.973	1.633	328.125	328.125	-30.70	16.9493					Band Limited Energy Detector	1	1.0000	Too short
2	Spectrogram 1	1	21.482645833	21.493312500	200.000	2000.000	21.4826	CK6-1-10-2024_000H_GU-B1_16289_20240105_003602.flac	-45.91	-6.032	1.614	281.250	281.250	-32.37	21.4826					Band Limited Energy Detector	1	1.0000	Too short
3	Spectrogram 1	1	39.189312500	39.199979167	200.000	2000.000	39.1893	CK6-1-10-2024_000H_GU-B1_16289_20240105_003602.flac	-44.86	-1.973	1.633	328.125	328.125	-30.70	39.2000					Band Limited Energy Detector	1	1.0000	Too short
4	Spectrogram 1	1	51.594645833	51.615979167	200.000	2000.000	51.5946	CK6-1-10-2024_000H_GU-B1_16289_20240105_003602.flac	-45.15	-0.497	1.913	328.125	328.125	-30.70	51.6053					Band Limited Energy Detector	2	1.0000	Detection
5	Spectrogram 1	1	56.767979167	56.778645833	200.000	2000.000	56.7680	CK6-1-10-2024_000H_GU-B1_16289_20240105_003602.flac	-45.91	-6.032	1.614	281.250	281.250	-32.37	56.7786					Band Limited Energy Detector	1	1.0000	Too short
6	Spectrogram 1	1	67.093312500	67.103979167	200.000	2000.000	67.0933	CK6-1-10-2024_000H_GU-B1_16289_20240105_003602.flac	-44.86	-1.973	1.633	328.125	328.125	-30.70	67.1040					Band Limited Energy Detector	1	1.0000	Too short
7	Spectrogram 1	1	70.591979167	70.602645833	200.000	2000.000	70.5920	CK6-1-10-2024_000H_GU-B1_16289_20240105_003602.flac	-45.91	-6.032	1.614	281.250	281.250	-32.37	70.6026					Band Limited Energy Detector	1	1.0000	Too short
8	Spectrogram 1	1	76.170645833	76.213312500	200.000	2000.000	76.1706	CK6-1-10-2024_000H_GU-B1_16289_20240105_003602.flac	-46.47	0.398	2.743	328.125	328.125	-30.70	76.1813					Band Limited Energy Detector	4	0.5000	Too sparse
9	Spectrogram 1	1	76.671979167	76.682645833	200.000	2000.000	76.6720	CK6-1-10-2024_000H_GU-B1_16289_20240105_003602.flac	-45.91	-6.032	1.614	281.250	281.250	-32.37	76.6826					Band Limited Energy Detector	1	1.0000	Too short
10	Spectrogram 1	1	80.117312500	80.127979167	200.000	2000.000	80.1173	CK6-1-10-2024_000H_GU-B1_16289_20240105_003602.flac	-45.91	-6.032	1.614	281.250	281.250	-32.37	80.1280					Band Limited Energy Detector	1	1.0000	Too short
